metric_date,open,high,low,close,volume,market_cap,mcap_weekly_growth,mcap_weekly_change,crypto,type
2024-06-02,17.0464696149,19.1631242356,16.9097489014,18.1485759438,3523858251.32,10655028400.38,6.4653054490029005,647046593.1199989,Chainlink,cryptocoins
2024-06-09,18.1485599463,18.330148115,15.5671016376,16.3575931063,2585172871.55,9603542429.39,-9.868448318284162,-1051485970.9899998,Chainlink,cryptocoins
2024-06-16,16.3575305752,16.3759850344,14.4866094003,15.1260661452,2342189150.7,8880512986.92,-7.52877855006181,-723029442.4699993,Chainlink,cryptocoins
2024-06-23,15.1259121313,15.1926988297,13.1195230283,13.1770062175,2140677761.26,8012937091.53,-9.769434453480807,-867575895.3900003,Chainlink,cryptocoins
2024-06-30,13.177667123,14.5553102919,12.8499963934,14.2601994714,1885969832.37,8671626877.22,8.220328927657029,658689785.6899996,Chainlink,cryptocoins
2024-07-07,14.2587768088,14.7179066048,11.1612900195,12.3513349106,2742710321.0099998,7510846394.21,-13.385959744870036,-1160780483.0099993,Chainlink,cryptocoins
2024-07-14,12.3522077895,13.5146661903,11.8258800577,13.4268697612,2224648101.05,8164879105.07,8.707842985101966,654032710.8599997,Chainlink,cryptocoins
2024-07-21,13.4288095751,15.0008481824,13.382308209,14.8065699613,2286972728.07,9003787775.5,10.274600023276248,838908670.4300003,Chainlink,cryptocoins
2024-07-28,14.8064269248,14.8593491646,12.5034117249,13.2932251845,1695415793.85,8083612960.24,-10.21986344196013,-920174815.2600002,Chainlink,cryptocoins
2024-08-04,13.2932303125,13.8890201251,10.5343189261,10.8715267805,1842168044.1999998,6610919325.02,-18.218260107993533,-1472693635.2199993,Chainlink,cryptocoins
2024-08-11,10.8714350374,10.9449415734,8.1376494894,10.0089239133,2676422773.4300003,6086422379.93,-7.933797393427023,-524496945.09000015,Chainlink,cryptocoins
2024-08-18,10.0089174078,10.7334850038,9.9513967151,10.0959466028,1380405507.91,6139311357.5,0.868966599235721,52888977.569999695,Chainlink,cryptocoins
2024-08-25,10.095891557,12.5356225953,9.9672704456,12.1084852929,1554630588.7,7363181590.42,19.934975792111874,1223870232.92,Chainlink,cryptocoins
2024-09-01,12.1085050949,12.678085516,10.2695271078,10.3723976346,1516184719.1599998,6307454695.15,-14.337917411185042,-1055726895.2700005,Chainlink,cryptocoins
2024-09-08,10.3723976346,10.8612799404,9.3377089582,10.3358668506,1339129192.18,6285240326.48,-0.3521922826822954,-22214368.670000076,Chainlink,cryptocoins
2024-09-15,10.3358668506,11.5450291539,10.1961150203,10.8231870008,1356001739.55,6581579695.37,4.714845471246498,296339368.89000034,Chainlink,cryptocoins
2024-06-30,388.7351233813,405.8716505259,379.1102366437,393.6454171973,613304614.23,7765334892.57,,,Bitcoin Cash,cryptocoins
2024-07-07,393.5793941084,397.5183788275,289.6137925244,312.7734532198,1914378797.5,6170913693.57,-20.532549092320128,-1594421199.0,Bitcoin Cash,cryptocoins
2024-07-14,312.8996923781,387.7035126455,299.7061457045,376.9600735562,1759833539.51,7438536639.49,20.541900419719774,1267622945.92,Bitcoin Cash,cryptocoins
2024-07-21,376.9571329198,404.2181890076,370.3344929953,400.7705246218,2043161916.1599998,7909644646.18,6.333342558117727,471108006.69000053,Bitcoin Cash,cryptocoins
2024-07-28,400.7705246218,422.8785399729,347.3657813432,416.6730431444,2056444179.5,8224832898.44,3.9848598307412164,315188252.2599993,Bitcoin Cash,cryptocoins
2024-08-04,416.6730431444,457.9719377172,331.5862882772,331.8576659738,2560132336.14,6551394967.37,-20.346163280562212,-1673437931.0699997,Bitcoin Cash,cryptocoins
2024-08-11,331.8416391191,369.5331668762,277.6203314559,330.2902416617,2389077385.9,6521969917.49,-0.4491417480789184,-29425049.880000114,Bitcoin Cash,cryptocoins
2024-08-18,330.2988652565,364.7131571407,328.8084880493,333.3903409411,1608675126.98,6583946545.45,0.9502746676858687,61976627.96000004,Bitcoin Cash,cryptocoins
2024-08-25,333.3850076077,368.886822746,331.0982041995,356.3801568864,1420308973.03,7039171856.55,6.9141708237986155,455225311.1000004,Bitcoin Cash,cryptocoins
2024-09-01,356.3801568864,358.0350368042,311.6368379417,312.7499735527,1262442228.95,6178381591.6,-12.228572941418214,-860790264.9499998,Bitcoin Cash,cryptocoins
2024-09-08,312.7499735527,325.8701036786,287.6148916585,305.2160954361,1181115196.6,6030518749.25,-2.39322936205546,-147862842.35000038,Bitcoin Cash,cryptocoins
2024-09-15,305.2160954361,343.4049218281,305.2160954361,316.6377228622,1314850903.8,6257187875.19,3.758700293705086,226669125.93999958,Bitcoin Cash,cryptocoins
2024-01-07,8.2010313967,8.80124666,6.8444910719,6.8958328965,2396755437.43,8723984272.55,-15.675227107711986,-1621711272.5700016,Polkadot,cryptocoins
2024-01-14,6.8964474428,8.5667252786,6.5646413708,7.3270990991,2313599509.68,9399165736.98,7.73937049100899,675181464.4300003,Polkadot,cryptocoins
2024-01-21,7.3255486846,7.6760665043,6.5956691057,6.8073180234,1301747924.73,8646413149.33,-8.008717036325642,-752752587.6499996,Polkadot,cryptocoins
2024-01-28,6.808433376,6.8391266609,6.0014000161,6.8391266609,1369199428.5,8705153512.12,0.6793610457366706,58740362.790000916,Polkadot,cryptocoins
2024-02-04,6.8467969274,7.2904337457,6.5575484799,6.6672282612,1280164534.26,8504413611.74,-2.3059892062847087,-200739900.38000107,Polkadot,cryptocoins
2024-02-11,6.6665924281,7.331010693,6.6029348709,7.096011893,1271948497.3400002,9068411072.63,6.631820683220568,563997460.8899994,Polkadot,cryptocoins
2024-02-18,7.0968104429,7.941685211,6.9925679517,7.8500593244,1729953542.76,10052150397.8,10.847978960052785,983739325.1700001,Polkadot,cryptocoins
2024-02-25,7.8506484956,8.1383722597,7.2504515024,7.9230623445,1897482458.6200001,10167219353.8,1.1447198007023873,115068956.0,Polkadot,cryptocoins
2024-03-03,7.9220792461,9.8835334809,7.5938613656,9.7974399945,3373349349.25,12890702392.05,26.786901545820374,2723483038.25,Polkadot,cryptocoins
2024-03-10,9.7927996358,10.9896179064,8.3668749631,10.2788134519,5020094294.03,13241953798.38,2.724843035292057,351251406.3299999,Polkadot,cryptocoins
2024-03-17,10.278986944,11.8824334937,9.2410595596,10.1156085489,4794407585.91,13059167146.92,-1.3803601359971607,-182786651.45999908,Polkadot,cryptocoins
2024-03-24,10.0789539463,10.4425271927,8.5107731127,9.3693090228,2621728884.61,13360484229.31,2.3073223506528517,301317082.3899994,Polkadot,cryptocoins
2024-03-31,9.3692951451,10.0523828657,9.2941024472,9.6426259955,1866177939.03,13773238201.91,3.0893638697204295,412753972.6000004,Polkadot,cryptocoins
2024-04-07,9.6426131082,9.7313538268,8.0941868105,8.7067261578,1708945112.55,12460056689.44,-9.534297550215133,-1313181512.4699993,Polkadot,cryptocoins
2024-04-14,8.7067261578,9.1021867689,5.8101254775,6.8693457053,2910934750.29,9849510928.06,-20.951315282477488,-2610545761.380001,Polkadot,cryptocoins
2024-04-21,6.8693457053,7.2879291997,6.2986260965,7.1350294213,1562539603.33,10246380636.52,4.029334160434006,396869708.460001,Polkadot,cryptocoins
2024-04-28,7.1350294213,7.5686694622,6.5469146024,6.7236061427,1307100388.7,9668232524.12,-5.6424617912335995,-578148112.3999996,Polkadot,cryptocoins
2024-05-05,6.7236061427,7.3977135781,6.0707876787,7.3067837585,1699485373.8999999,10506814777.78,8.67358383828618,838582253.6599998,Polkadot,cryptocoins
2024-05-12,7.3067837585,7.4620070023,6.6011494338,6.6203788628,1164684656.5,9519796502.78,-9.394077043095528,-987018275.0,Polkadot,cryptocoins
2024-05-19,6.6203788628,7.2904818309,6.4402340851,6.9375346393,1264455546.94,9975851739.81,4.790598589967976,456055237.0299988,Polkadot,cryptocoins
2024-05-26,6.9375346393,7.6906782894,6.8681412839,7.5472343829,1690915951.88,10852571578.27,8.788420892036019,876719838.460001,Polkadot,cryptocoins
2024-06-02,7.5472343829,7.7621550364,6.81409058,6.9890395971,1391843245.8600001,10049913470.62,-7.396017633803531,-802658107.6499996,Polkadot,cryptocoins
2024-06-09,6.9890490562,7.288291629,6.168391869,6.5227627632,1461716363.43,9379429097.31,-6.67154374284018,-670484373.3100014,Polkadot,cryptocoins
2024-06-16,6.5235289397,6.9167982902,6.0515181758,6.3880681319,1419703669.7,9185744490.06,-2.06499356453953,-193684607.25,Polkadot,cryptocoins
2024-06-23,6.3878901594,6.4086953323,5.5454818668,5.6448917771,1244476617.51,8117091500.53,-11.633820107737613,-1068652989.5299997,Polkadot,cryptocoins
2024-06-30,5.6451906039,6.4194276234,5.4759270269,6.208573494,1174406209.24,8927639559.57,9.985695725951537,810548059.04,Polkadot,cryptocoins
2024-07-07,6.2083469887,6.5906868014,4.98769843,5.9062626158,2233181403.19,8492930594.89,-4.869248604621501,-434708964.67999935,Polkadot,cryptocoins
2024-07-14,5.9076370002,6.3486791221,5.7251051041,6.328078089,1174939168.78,9099481602.07,7.141834027761251,606551007.1799994,Polkadot,cryptocoins
2024-07-21,6.3283636866,6.5355312477,6.0165858882,6.4197424829,1258241338.4,9231356099.53,1.4492528610640987,131874497.46000099,Polkadot,cryptocoins
2024-07-28,6.4197879418,6.4724624669,5.5531932929,5.7214258153,1168491002.52,8227120845.78,-10.878523620176782,-1004235253.750001,Polkadot,cryptocoins
2024-08-04,5.7214097942,5.8712354936,4.5572340264,4.6838420245,1081614815.8,6918697981.21,-15.903775927165809,-1308422864.5699997,Polkadot,cryptocoins
2024-08-11,4.6837879704,4.9157790204,3.6475166943,4.4963218779,1509566287.59,6654505348.46,-3.8185310800890826,-264192632.75,Polkadot,cryptocoins
2024-08-18,4.4963218779,4.6783945286,4.2251186114,4.3910771662,697434604.14,6510402304.31,-2.1654959550576947,-144103044.14999962,Polkadot,cryptocoins
2024-08-25,4.3910771662,5.0978720631,4.3548017345,4.8245082455,810421188.93,7166783016.64,10.082029982931529,656380712.3299999,Polkadot,cryptocoins
2024-09-01,4.8245082455,4.8616383125,4.0474532246,4.0736283255,726927370.71,6062963460.74,-15.401883290412544,-1103819555.9000006,Polkadot,cryptocoins
2024-09-08,4.0736138328,4.2797391607,3.8387731972,4.1641062055,704027894.5,6209659290.57,2.419540061224379,146695829.82999992,Polkadot,cryptocoins
2024-09-15,4.1641740674,4.5522711604,4.0670483129,4.4018686249,640082664.35,6575902645.39,5.897962153514258,366243354.82000065,Polkadot,cryptocoins
2024-01-07,72.913294565,75.8082199267,63.047882879,64.2574708421,2760754634.9500003,4759376586.56,-11.702129717637867,-630760878.0699997,Litecoin,cryptocoins
